lot,operation,visual_id,test_end_date,tester_id,prodgroup3,maxlidheight,minlidheight
7626F391,2090,76PN852700370,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.11,3795.3
7626F391,2090,76PN852700371,2026-06-30 04:42:26,OIS00014,GNRUCC,3874.31,3772.41
7626F391,2090,76PN852700372,2026-06-30 04:42:26,OIS00014,GNRUCC,3861.33,3787.83
7626F391,2090,76PN852700373,2026-06-30 04:42:26,OIS00014,GNRUCC,3872.67,3794.85
7626F391,2090,76PN852700374,2026-06-30 04:42:26,OIS00014,GNRUCC,3857.29,3782.81
7626F391,2090,76PN852700375,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.31,3797.66
7626F391,2090,76PN852700376,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.3,3803.51
7626F391,2090,76PN852700377,2026-06-30 04:42:26,OIS00014,GNRUCC,3866.52,3795.78
7626F391,2090,76PN852700378,2026-06-30 04:42:26,OIS00014,GNRUCC,3878.5,3816.63
7626F391,2090,76PN852700379,2026-06-30 04:42:26,OIS00014,GNRUCC,3889.84,3797.57
7626F391,2090,76PN852700380,2026-06-30 04:42:26,OIS00014,GNRUCC,3886.75,3791.47
7626F391,2090,76PN852700381,2026-06-30 04:42:26,OIS00014,GNRUCC,3875.76,3806.39
7626F391,2090,76PN852700382,2026-06-30 04:42:26,OIS00014,GNRUCC,3878.12,3805.62
7626F391,2090,76PN852700383,2026-06-30 04:42:26,OIS00014,GNRUCC,3848.72,3784.65
7626F391,2090,76PN852700384,2026-06-30 04:42:26,OIS00014,GNRUCC,3864.24,3806
7626F391,2090,76PN852700385,2026-06-30 04:42:26,OIS00014,GNRUCC,3853.01,3784.9
7626F391,2090,76PN852700386,2026-06-30 04:42:26,OIS00014,GNRUCC,3887.15,3791.52
7626F391,2090,76PN852700387,2026-06-30 04:42:26,OIS00014,GNRUCC,3883.21,3782.77
7626F391,2090,76PN852700388,2026-06-30 04:42:26,OIS00014,GNRUCC,3857.77,3801.74
7626F391,2090,76PN852700389,2026-06-30 04:42:26,OIS00014,GNRUCC,3876.26,3799.2
7626F391,2090,76PN852700390,2026-06-30 04:42:26,OIS00014,GNRUCC,3845.66,3787.45
7626F391,2090,76PN852700391,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.09,3797.18
