facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300052,1,,0,2,2,186.283,203.822
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300053,4,,6,1,2,13.2018,32.5284
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300055,4,,5,1,2,-24.4216,1.00104
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300056,5,,4,2,1,-41.3496,169.359
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300057,3,,4,1,1,-71.5452,-14.1297
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300058,5,,5,2,1,52.6182,144.647
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300059,5,,5,0,1,65.0702,-350.347
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300060,3,,5,1,1,-5.48221,-5.48764
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300061,5,,6,0,1,-115.881,-300.72
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300062,5,,1,2,1,-33.5998,200.023
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300063,3,,4,2,1,-71.9635,139.655
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300064,5,,4,0,1,-72.8118,-259.102
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300065,5,,2,0,1,23.8532,-154.995
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300066,3,,5,2,1,120.718,-20.6147
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300067,5,,3,2,1,2.53595,212.649
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300068,5,,2,2,1,73.725,65.5219
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300069,3,,5,0,1,89.0423,-202.382
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300070,5,,3,0,1,40.0299,-304.051
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300071,1,,5,2,2,77.6862,301.247
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300072,7,,6,1,1,208.045,-66.6344
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300073,1,,5,1,2,-95.8815,72.2332
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300074,1,,0,1,2,78.7934,92.8708
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300075,5,,0,2,1,170.255,124.458
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300076,3,,2,2,1,69.1359,149.867
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300077,1,,3,2,2,61.7848,232.959
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300078,5,,0,0,1,-20.5042,-255.648
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300079,1,,6,0,2,-116.147,-162.941
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300080,1,,3,0,2,-12.5144,-123.263
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300081,5,,1,0,1,-85.8044,-194.759
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300082,3,,1,1,1,67.6528,58.0234
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300083,1,,6,2,2,-154.708,174.745
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300084,7,,0,1,1,-81.907,-24.5298
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300085,1,,6,1,2,-19.0718,16.9765
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300086,3,,0,2,1,87.1612,153.347
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300087,7,,5,1,1,16.5098,-84.3538
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300088,3,,0,0,1,72.8774,-7.18352
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300089,3,,6,0,1,9.28421,-226.484
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300090,7,,1,1,1,-8.46023,70.8359
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300091,3,,0,1,1,112.512,17.0768
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300092,2,,5,2,1,92.8887,45.2898
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300093,7,,4,1,1,-59.2302,-81.4964
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300094,3,,6,1,1,103.436,-180.501
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300095,2,,0,0,1,36.7463,-113.408
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300096,7,,2,1,1,41.6807,-57.8782
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300097,3,,6,2,1,7.14959,-16.6413
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300098,2,,5,0,1,59.7004,-218.064
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300099,7,,3,1,1,29.9384,83.988
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300100,2,,5,1,1,-81.6621,-38.305
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300101,10,,2,2,1,71.1978,-94.74
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300102,11,,3,2,2,67.7445,218.926
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300103,10,,3,2,1,-40.2275,-61.0456
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300104,10,,3,0,1,-7.94294,-121.57
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300105,11,,2,0,2,1.42977,-163.481
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300106,10,,4,0,1,-52.2059,-150.63
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300107,11,,6,1,2,-15.8843,14.4323
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300108,11,,0,2,2,84.7546,161.77
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300109,10,,2,0,1,28.1643,-13.989
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300110,10,,0,0,1,-27.6214,-57.2644
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300111,11,,1,0,2,-58.2932,-100.405
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300112,10,,1,2,1,-19.1716,-5.84468
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300113,10,,0,2,1,37.61,51.4123
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300114,11,,3,0,2,-2.51561,-88.9089
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300115,10,,1,0,1,-77.6233,-93.0422
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300116,11,,2,1,2,32.9971,102.181
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300117,11,,4,2,2,-76.4375,138.082
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300118,11,,1,1,2,54.9533,145.665
