lot,operation,visual_id,test_end_date,tester_id,prodgroup3,bincode
7626F391,2090,76PN852700489,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700490,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700491,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700492,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700493,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700494,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700495,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700496,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700497,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700498,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700499,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700500,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700501,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700502,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700503,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700504,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700505,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700506,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700507,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700508,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700509,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700510,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700511,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700512,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700513,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700514,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700515,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700516,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700517,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700518,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700519,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700520,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700521,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700522,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700523,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700524,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700525,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700526,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700527,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700528,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700529,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700530,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700531,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700532,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700533,2026-06-30 04:42:26,OIS00014,GNRUCC,4
