LOT,DUMMY,prodgroup3,DLA_operation,lot_1,Current_operation,movedin,Lot_MVIN_CURE,movein_date,entity,facility,visual_id,bond_station,carrier_x,carrier_y,onrework,onhold,route,quantity,sub_plane_x,sub_plane_y,lower_x_limit,upper_x_limit,lower_y_limit,upper_y_limit,entity_bs_x_y
DUMMY,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100077,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100107,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100355,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100120,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100023,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100062,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100071,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100345,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100279,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100477,1,1,1,,,,,,,,,,,
7235C831,,CLXXCP,1960,7235C831,0011,N,Y,,DIA012,A15,722N6C7600142,3,3,0,,,,,,,,,,,
7238D430,,AXLF,1960,7238D430,2176,N,Y,,DIA003,A15,728Y02C202890,1,1,2,,,,,,,,,,,
7238G395,,AXLF,1960,7238G395,2176,N,Y,,DIA003,A15,72M22P5602316,3,3,0,,,,,,,,,,,
7239D948,,AXLF,1960,7239D948,2176,N,Y,,DIA003,A15,72TG213301964,3,3,0,,,,,,,,,,,
7240F417,,AXLF,1960,7240F417,2176,N,Y,,DIA003,A15,72YP556102568,3,3,0,,,,,,,,,,,
7240F941,,AXLF,1960,7240F941,2176,N,Y,,DIA003,A15,72NE898400348,1,5,0,,,,,,,,,,,
7240H269,,DNV,1960,7240H269,2171,N,Y,,DIA001,A15,72LT048603085,3,6,0,,,,,,,,,,,
7240H269,,DNV,1960,7240H269,2171,N,Y,,DIA001,A15,72LT048604038,3,3,2,,,,,,,,,,,
7241D841,,AXLF,1960,7241D841,2176,N,Y,,DIA003,A15,72CV581405591,3,3,0,,,,,,,,,,,
7241F261,,AXLF,1960,7241F261,2176,N,Y,,DIA003,A15,728X2L3100006,3,3,0,,,,,,,,,,,
7306D692,,AXLF,1960,7306D692,2176,N,Y,,DIA003,A15,736Q2L9205253,3,3,0,Y,N,RWK-NOSEG,1750,30.4514,537.16,-200.0,200.0,-500.0,500.0,
7307C408,,AXLF,1960,7307C408,2176,N,Y,,DIA003,A15,73YE541602601,3,5,0,Y,N,RWK-NOSEG,1750,89.3785,520.892,-200.0,200.0,-500.0,500.0,
7309D537,,AXLF,1960,7309D537,2176,N,Y,,DIA003,A15,73XB833102050,3,3,0,Y,N,RWK-NOSEG,1749,-37.11,538.006,-200.0,200.0,-500.0,500.0,
7318D756,,DNV,1960,7318D756,2171,N,Y,,DIA001,A15,73WG649801808,3,3,0,N,N,DNV-APO02,1250,50.1385,-514.466,-200.0,200.0,-500.0,500.0,
7318D755,,DNV,1960,7318D755,2171,N,Y,,DIA001,A15,73M00X0704111,3,5,0,N,N,DNV-APO02,1250,108.826,-500.015,-200.0,200.0,-500.0,500.0,
7318D823,,DNV,1960,7318D823,2171,N,Y,,DIA001,A15,73M00X0703537,1,3,0,N,N,DNV-APO02,1249,96.3415,-526.901,-200.0,200.0,-500.0,500.0,
7318D958,,DNV,1960,7318D958,2152,N,Y,,DIA001,A15,73XF584801119,1,3,0,N,N,DNV-APO02,1250,35.8604,-502.072,-200.0,200.0,-500.0,500.0,
7318D959,,DNV,1960,7318D959,2171,N,Y,,DIA001,A15,73XF584801850,1,3,0,N,N,DNV-APO02,1250,42.0201,-523.786,-200.0,200.0,-500.0,500.0,
7319Z448,,DNV,1960,7319Z448,1440,N,Y,,DIA001,A15,739N7M6102300,3,3,0,N,N,DNV-APO02,1249,110.853,-512.423,-200.0,200.0,-500.0,500.0,
7319F441,,DNV,1960,7319F441,1440,N,Y,,DIA001,A15,73QV334601260,3,5,0,N,N,DNV-APO02,1248,131.312,-531.614,-200.0,200.0,-500.0,500.0,
7319F437,,DNV,1960,7319F437,2171,N,Y,,DIA001,A15,737G78W404296,3,5,0,N,N,DNV-APO02,1127,10.9045,-602.708,-200.0,200.0,-500.0,500.0,
7319F443,,DNV,1960,7319F443,2171,N,Y,,DIA001,A15,737G78W404088,3,5,0,N,N,DNV-APO02,1195,21.6545,-516.952,-200.0,200.0,-500.0,500.0,
7319F534,,DNV,1960,7319F534,2171,N,Y,,DIA001,A15,73Q4827L03536,1,3,0,N,N,DNV-APO02,1248,64.107,-609.27,-200.0,200.0,-550.0,500.0,
7319F526,,DNV,1960,7319F526,2171,N,Y,,DIA001,A15,73Q4827L01818,1,5,0,N,N,DNV-APO02,1248,35.435,-676.653,-200.0,200.0,-550.0,500.0,
7319F440,,DNV,1960,7319F440,2171,N,Y,,DIA001,A15,73QV334601657,1,5,0,N,N,DNV-APO02,1248,34.4024,-570.879,-200.0,200.0,-550.0,500.0,
7319F440,,DNV,1960,7319F440,2171,N,Y,,DIA001,A15,73QV334602471,3,3,0,N,N,DNV-APO02,1248,63.9219,-619.012,-200.0,200.0,-550.0,500.0,
7319F527,,DNV,1960,7319F527,2171,N,Y,,DIA001,A15,737G78W402812,1,3,0,N,N,DNV-APO02,1250,28.0468,-564.996,-200.0,200.0,-550.0,500.0,
7319F528,,DNV,1960,7319F528,2171,N,Y,,DIA001,A15,737G78W405018,1,3,0,N,N,DNV-APO02,1250,50.2432,-576.255,-200.0,200.0,-550.0,500.0,
7319F528,,DNV,1960,7319F528,2171,N,Y,,DIA001,A15,737G78W404977,1,5,0,N,N,DNV-APO02,1250,102.273,-609.853,-200.0,200.0,-550.0,500.0,
7319F438,,DNV,1960,7319F438,2171,N,Y,,DIA001,A15,73FG666901214,1,5,0,N,N,DNV-APO02,1250,36.9284,-567.382,-200.0,200.0,-550.0,500.0,
7319F527,,DNV,1960,7319F527,2171,N,Y,,DIA001,A15,73Q4827L04761,1,5,0,N,N,DNV-APO02,1250,25.7643,-561.5,-200.0,200.0,-550.0,500.0,
7319F527,,DNV,1960,7319F527,2171,N,Y,,DIA001,A15,73Q4827L04993,1,5,0,N,N,DNV-APO02,1250,18.8424,-608.362,-200.0,200.0,-550.0,500.0,
7319F527,,DNV,1960,7319F527,2171,N,Y,,DIA001,A15,73Q4827L04883,3,3,0,N,N,DNV-APO02,1250,-21.2891,-550.864,-200.0,200.0,-550.0,500.0,
7319F442,,DNV,1960,7319F442,2171,N,Y,,DIA001,A15,73QV334603788,1,3,0,N,N,DNV-APO02,1250,37.5326,-621.185,-200.0,200.0,-550.0,500.0,
7319F442,,DNV,1960,7319F442,2171,N,Y,,DIA001,A15,73QV334603787,1,5,0,N,N,DNV-APO02,1250,27.2834,-559.564,-200.0,200.0,-550.0,500.0,
7319F442,,DNV,1960,7319F442,2171,N,Y,,DIA001,A15,73QV334604093,1,5,0,N,N,DNV-APO02,1250,44.9526,-554.298,-200.0,200.0,-550.0,500.0,
7319F446,,DNV,1960,7319F446,2171,N,Y,,DIA001,A15,739N7M6102155,1,5,0,N,N,DNV-APO02,1250,49.0509,-572.368,-200.0,200.0,-550.0,500.0,
7319F446,,DNV,1960,7319F446,2171,N,Y,,DIA001,A15,739N7M6101546,3,5,0,N,N,DNV-APO02,1250,9.63307,-670.359,-200.0,200.0,-550.0,500.0,
7319F446,,DNV,1960,7319F446,2171,N,Y,,DIA001,A15,739N7M6102105,3,5,0,N,N,DNV-APO02,1250,35.9117,-593.859,-200.0,200.0,-550.0,500.0,
7325G159,,EMRXCP,2090,7325G159,0265,N,Y,,DIA007,A15,732W51D000254,4,2,1,N,N,EXP-ENG01A,246,36.1335,-354.405,-300.0,150.0,-350.0,350.0,
7330G653,,AXLF,1960,7330G653,2171,Y,Y,,DIA003,A15,73K8538R05145,1,0,2,N,N,AXL-APO02,1748,93.3223,505.619,-200.0,200.0,-500.0,500.0,
7407F797,,SHD,1960,7407F797,2171,N,Y,,DIA001,A15,74TW114600477,1,1,0,N,N,SHD-APO01,1055,-82.6516,606.433,-300.0,300.0,-600.0,600.0,7407F797_DIA001_1_1_0
7407F797,,SHD,1960,7407F797,2171,N,Y,,DIA001,A15,74TW114600612,1,1,0,N,N,SHD-APO01,1055,-55.2225,602.127,-300.0,300.0,-600.0,600.0,7407F797_DIA001_1_1_0
7407F797,,SHD,1960,7407F797,2171,N,Y,,DIA001,A15,74TW114601193,1,1,0,N,N,SHD-APO01,1055,-17.4716,609.763,-300.0,300.0,-600.0,600.0,7407F797_DIA001_1_1_0
7407F797,,SHD,1960,7407F797,2171,N,Y,,DIA001,A15,74TW114600428,2,2,0,N,N,SHD-APO01,1055,87.7331,603.365,-300.0,300.0,-600.0,600.0,7407F797_DIA001_2_2_0
7407F846,,SHD,1960,7407F846,2171,N,Y,,DIA001,A15,74LF874600798,1,1,0,N,N,SHD-APO01,1058,-150.544,614.474,-300.0,300.0,-600.0,600.0,7407F846_DIA001_1_1_0
7407F846,,SHD,1960,7407F846,2171,N,Y,,DIA001,A15,74TS657600807,2,2,0,N,N,SHD-APO01,1058,64.5604,624.225,-300.0,300.0,-600.0,600.0,7407F846_DIA001_2_2_0
7407F954,,SHD,1960,7407F954,2171,N,Y,,DIA001,A15,74NX352600208,4,1,0,N,N,SHD-APO01,779,-85.175,613.16,-300.0,300.0,-600.0,600.0,7407F954_DIA001_4_1_0
7407G038,,SHD,1960,7407G038,2171,Y,Y,,DIA001,A15,74TS657601348,4,1,0,N,N,SHD-APO01,1057,-118.653,652.197,-300.0,300.0,-600.0,600.0,7407G038_DIA001_4_1_0
7408D542,,SHD,1960,7408D542,2171,N,Y,,DIA001,A15,74WL918500516,3,2,0,N,N,SHD-APO01,490,173.199,602.508,-300.0,300.0,-600.0,600.0,7408D542_DIA001_3_2_0
7408D542,,SHD,1960,7408D542,2171,N,Y,,DIA001,A15,74WL918500586,3,2,0,N,N,SHD-APO01,490,115.534,612.757,-300.0,300.0,-600.0,600.0,7408D542_DIA001_3_2_0
7408D542,,SHD,1960,7408D542,2171,N,Y,,DIA001,A15,74WL918500803,3,2,0,N,N,SHD-APO01,490,22.4576,619.507,-300.0,300.0,-600.0,600.0,7408D542_DIA001_3_2_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352601368,3,1,0,N,N,SHD-APO01,1079,-93.5275,629.479,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_1_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352601448,3,1,0,N,N,SHD-APO01,1079,-187.422,633.022,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_1_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74TS657600641,3,1,0,N,N,SHD-APO01,1079,-138.43,602.886,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_1_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352600494,3,2,0,N,N,SHD-APO01,1079,81.4324,668.347,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_2_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352600664,3,2,0,N,N,SHD-APO01,1079,166.439,625.082,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_2_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352600934,3,2,0,N,N,SHD-APO01,1079,166.817,621.208,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_2_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352600954,3,2,0,N,N,SHD-APO01,1079,130.122,642.559,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_2_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352601094,3,2,0,N,N,SHD-APO01,1079,135.026,602.06,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_2_0
7408D370,,SHD,1960,7408D370,2171,N,Y,,DIA001,A15,74NX352601214,3,2,0,N,N,SHD-APO01,1079,97.38,630.939,-300.0,300.0,-600.0,600.0,7408D370_DIA001_3_2_0
