facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,entity,bond_station,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley,Entity_BS_X_Y
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500031,61,,DIA003,3,5,1,1,-154.484,-76.2997,DIA003_3_5_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500032,30,,DIA003,3,1,0,1,20.8824,-49.863,DIA003_3_1_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500033,61,,DIA003,3,3,1,1,36.7993,11.9064,DIA003_3_3_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500034,30,,DIA003,3,2,2,1,31.2995,141.193,DIA003_3_2_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500035,30,,DIA003,3,5,0,1,-80.351,-180.643,DIA003_3_5_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500036,61,,DIA003,3,6,1,1,-180.654,-24.6463,DIA003_3_6_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500037,34,,DIA003,4,4,2,2,-93.9852,126.182,DIA003_4_4_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500038,61,,DIA003,3,0,2,1,71.2465,206.996,DIA003_3_0_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500039,34,,DIA003,4,4,0,2,-96.7105,-19.4326,DIA003_4_4_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500040,34,,DIA003,4,3,2,2,-94.5245,89.3722,DIA003_4_3_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500041,61,,DIA003,3,1,0,1,-33.4976,-234.65,DIA003_3_1_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500042,34,,DIA003,4,5,2,2,-67.0329,254.715,DIA003_4_5_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500043,34,,DIA003,4,6,2,2,-60.1323,166.627,DIA003_4_6_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500044,64,,DIA003,3,6,1,1,-213.778,-9.86249,DIA003_3_6_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500045,34,,DIA003,4,6,0,2,-90.4191,-19.9146,DIA003_4_6_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500046,64,,DIA003,3,4,1,1,72.9675,-70.3049,DIA003_3_4_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500047,61,,DIA003,3,1,2,1,-7.16051,295.665,DIA003_3_1_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500048,64,,DIA003,3,5,1,1,-188.371,-67.7942,DIA003_3_5_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500049,61,,DIA003,3,0,0,1,35.2239,-16.0854,DIA003_3_0_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500050,61,,DIA003,3,2,2,1,14.2747,88.3567,DIA003_3_2_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500051,64,,DIA003,3,2,1,1,111.553,-55.5548,DIA003_3_2_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500052,64,,DIA003,3,0,1,1,33.1094,-3.0724,DIA003_3_0_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500053,61,,DIA003,3,3,0,1,77.921,-248.262,DIA003_3_3_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500054,64,,DIA003,3,1,1,1,116.076,-20.341,DIA003_3_1_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500055,64,,DIA003,3,3,1,1,201.037,-5.67277,DIA003_3_3_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500056,61,,DIA003,3,5,2,1,-68.2157,242.287,DIA003_3_5_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500057,61,,DIA003,3,2,0,1,-47.564,-91.2987,DIA003_3_2_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500058,35,,DIA003,4,0,1,2,321.777,-66.6302,DIA003_4_0_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500059,34,,DIA003,4,2,0,2,-25.9518,-87.6513,DIA003_4_2_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500060,35,,DIA003,4,6,0,2,-149.752,-122.562,DIA003_4_6_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500061,35,,DIA003,4,3,2,2,-32.1308,210.314,DIA003_4_3_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500062,34,,DIA003,4,3,0,2,-35.8811,-197.95,DIA003_4_3_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500063,35,,DIA003,4,4,2,2,-.264508,305.223,DIA003_4_4_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500064,35,,DIA003,4,5,0,2,-62.0295,-147.095,DIA003_4_5_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500065,34,,DIA003,4,1,2,2,7.59335,284.671,DIA003_4_1_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500066,35,,DIA003,4,4,0,2,7.48111,-39.9218,DIA003_4_4_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500067,35,,DIA003,4,1,1,2,50.4545,-74.9643,DIA003_4_1_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500068,34,,DIA003,4,0,2,2,-14.656,166.464,DIA003_4_0_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500069,35,,DIA003,4,4,1,2,129.693,12.0812,DIA003_4_4_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500070,35,,DIA003,4,6,2,2,-141.38,382.626,DIA003_4_6_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500071,34,,DIA003,4,0,0,2,89.1929,-190.443,DIA003_4_0_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500072,35,,DIA003,4,2,1,2,14.7909,-62.504,DIA003_4_2_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500073,35,,DIA003,4,5,1,2,-183.904,44.3962,DIA003_4_5_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500074,34,,DIA003,4,1,0,2,4.42015,-238.374,DIA003_4_1_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500075,35,,DIA003,4,3,1,2,-9.19536,39.516,DIA003_4_3_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500076,34,,DIA003,4,2,2,2,-57.5197,65.558,DIA003_4_2_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500077,34,,DIA003,4,5,0,2,-56.7493,-132.305,DIA003_4_5_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500078,35,,DIA003,4,6,1,2,-310.827,31.8619,DIA003_4_6_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500079,64,,DIA003,3,4,2,1,-9.89305,155.428,DIA003_3_4_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500080,52,,DIA003,3,1,2,1,2.91255,75.5328,DIA003_3_1_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500081,64,,DIA003,3,4,0,1,-8.37755,-36.4644,DIA003_3_4_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500082,64,,DIA003,3,3,2,1,94.0356,43.2497,DIA003_3_3_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500083,52,,DIA003,3,0,0,1,20.1894,114.406,DIA003_3_0_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500084,64,,DIA003,3,5,2,1,-80.2021,211.942,DIA003_3_5_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500085,64,,DIA003,3,6,2,1,-11.7508,167.864,DIA003_3_6_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500086,52,,DIA003,3,0,2,1,66.2688,123.694,DIA003_3_0_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500087,64,,DIA003,3,6,0,1,-62.1877,-24.9436,DIA003_3_6_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500088,55,,DIA003,3,5,1,1,-127.182,-28.4862,DIA003_3_5_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500089,52,,DIA003,3,2,2,1,41.17,104.133,DIA003_3_2_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500090,55,,DIA003,3,4,1,1,108.721,-59.5901,DIA003_3_4_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500091,55,,DIA003,3,6,1,1,-160.632,-14.7376,DIA003_3_6_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500092,52,,DIA003,3,3,2,1,21.6951,87.6129,DIA003_3_3_2
